iter	RMSE
0	8679.695143
1	7665.633271
2	6817.858598
3	6094.484722
4	5488.208282
5	4997.517645
6	4590.515015
7	4268.150662
8	4022.622043
9	3839.119662
10	3654.355474
11	3504.110529
12	3377.572967
13	3267.445187
14	3143.014295
15	3047.718012
16	2954.013364
17	2887.942121
18	2825.812011
19	2771.630831
20	2710.462359
21	2660.87507
22	2610.229893
23	2552.586028
24	2499.02308
25	2436.968322
26	2375.443204
27	2353.018479
28	2317.632355
29	2276.456314
30	2253.10544
31	2232.995477
32	2193.554075
33	2175.676109
34	2158.960992
35	2121.416472
36	2079.067244
37	2056.966287
38	2039.422588
39	2013.730375
40	1979.07384
41	1954.352206
42	1925.059569
43	1912.254301
44	1875.940363
45	1859.139212
46	1848.058009
47	1823.835256
48	1808.844362
49	1792.465126
50	1778.912754
51	1767.721826
52	1758.097259
53	1748.408496
54	1742.1224
55	1734.483276
56	1723.700831
57	1715.289026
58	1701.980429
59	1695.742161
60	1688.099899
61	1678.010265
62	1667.022191
63	1660.903159
64	1645.724649
65	1640.987322
66	1627.889137
67	1620.604338
68	1606.248186
69	1597.761435
70	1581.714214
71	1570.574776
72	1563.917553
73	1558.746406
74	1551.568548
75	1543.085384
76	1532.857085
77	1522.681418
78	1519.274194
79	1516.4407
80	1509.31707
81	1500.142018
82	1491.978737
83	1483.512878
84	1476.866195
85	1470.235603
86	1464.165152
87	1458.544687
88	1455.414092
89	1452.081981
90	1440.894767
91	1436.052551
92	1429.38495
93	1421.613907
94	1417.286788
95	1413.378553
96	1407.044052
97	1405.351783
98	1401.668746
99	1397.671251
