iter	Passed	Remaining
0	2	286
1	4	224
2	6	214
3	8	204
4	10	192
5	11	182
6	12	172
7	14	166
8	15	160
9	16	152
10	18	149
11	19	145
12	21	144
13	22	139
14	24	137
15	25	133
16	26	131
17	28	127
18	29	125
19	30	121
20	31	118
21	32	116
22	34	115
23	36	114
24	37	112
25	38	110
26	40	108
27	41	106
28	42	104
29	46	108
30	48	107
31	50	106
32	52	107
33	54	106
34	57	107
35	59	106
36	61	103
37	62	101
38	63	99
39	65	98
40	66	96
41	68	94
42	70	93
43	71	91
44	73	89
45	74	87
46	76	86
47	78	84
48	79	83
49	81	81
50	83	80
51	84	78
52	86	76
53	87	74
54	89	72
55	90	71
56	92	69
57	93	67
58	94	65
59	96	64
60	97	62
61	98	60
62	101	59
63	102	57
64	104	56
65	106	54
66	107	53
67	110	51
68	111	50
69	113	48
70	114	46
71	116	45
72	117	43
73	119	41
74	120	40
75	122	38
76	123	36
77	125	35
78	127	33
79	128	32
80	130	30
81	131	28
82	133	27
83	134	25
84	136	24
85	137	22
86	139	20
87	140	19
88	141	17
89	143	15
90	144	14
91	146	12
92	148	11
93	149	9
94	150	7
95	152	6
96	155	4
97	156	3
98	157	1
99	160	0
